1010 2  Горизонталь
1020 2  Утолщ╦нная горизонталь
1030 2  Вспомогательная горизонталь
1040 1  Бергштрих
1050 4  отметка высоты
1060 2  Земляной обрыв
1070 2  Земляной вал
1080 2  Маленький земляной вал
1090 2  Промоина
1100 2  Маленькая сухая канава
1101 2  Глубокая сухая канава
1102 2  Исчезающая сухая канава
1120 1  Микробугорок
1121 1  Овальный микробугорок
1130 1  Маленькая овальная яма
1132 1  Маленькая яма
1131 1  Маленькая неглубокая овальн яма
1133 1  Маленькая неглубокая яма
1140 1  Микроямка
1150 1  Воронка
1160 1  Неровная земля
1170 1  Особый объект рельефа
1180 1  Отметка высоты
1181 4  Отметка высоты - значение

2010 2  Непреодолимая скальная стена -1
2011 2  Непреодолимая скальная стена -2
2020 3  Скальные столбы
2030 2  Преодолимая скальная стена -1
2031 2  Преодолимая скальная стена -2
2040 1  Скальная воронка
2050 1  Пещера
2060 1  Камень
2070 1  Большой камень
2080 1  Каменная россыпь -1
2081 1  Каменная россыпь -2
2090 1  Группа камней
2100 1  Каменистая почва
2110 3  Открытый песок
2120 3  Голые скалы

3010 3  Озеро
3011 2  Граница пруда
3020 3  Пруд
3030 1  Лужа
3041 2  Узкая непреодолимая река
3042 2  Непреодолимая река 1
3051 2  Преодолимая река
3050 2  Узкая преодолимая река
3060 2  Ручей
3070 2  Пересыхающий ручей
3080 2  Узкое болото
3090 3  Труднопроходимое болото
3100 3  Болото
3101 1  Маленькое болотце
3110 3  Заболоченность
3120 1  Колодец
3130 1  Родник
3140 1  Особый объект гидрографии

4010 3  Открытое пространство
4020 3  Открытое пространство с деревья
4030 3  Неудобь
4040 3  Неудобь с деревьями
4050 2  Белый лес полосой
4051 3  Белый лес в зелени
4052 3  Белый лес в поле
4060 3  Среднепроходимая растительность
4061 3  Среднепр растительность в поле
4070 3  Среднепроходимый подлесок
4080 3  Труднопроходимая растительность
4081 3  Труднопр растительность в поле
4090 3  Труднопроходимый подлесок
4100 3  Непроходимая растительность
4101 3  Непроход растительность в поле
4102 3  Завал леса
4103 2  Узкие кусты
4104 2  Широкие кусты

7021 2  узкие кусты с разрывами

4110 3  Среднепроходим с направлением
4111 3  Труднопроходим с направлением
4112 3  Непрходимость с направлением
4120 3  Сад
4160 2  Ч╦ткий контур
4121 1  Дерево в саду
4122 2  Аллея
4130 3  Виноградник
4140 2  Граница возделываемой земли
4150 3  Возделываемая земля

9130 3  Цветник

4180 1  Особый объект растительности -1
4181 2  Крупная аллея
4190 1  Особый объект раститльности -2

5010 2  Автомагистраль 1
5012 2  Автомагистраль 3
5011 2  Автомагистраль 2
5030 2  Асфальтовая дорога
5020 2  Широкое шоссе -1
5022 2  Широкое шоссе -3
5021 2  Широкое шоссе -2
5023 2  Широкое шоссе -4
5031 2  Каменная дорога
5034 2  Широкий тротуар
5032 2  Тротуар
5033 2  Тротуар узкий
5040 2  Улучшенная дорога
5041 2  Лестница
