POI 0x0F00  триангуляционный знак
POI 0x1000  отметка уреза воды
POI 0x1100  отметка высоты
POI 0x2800  подпись лесного квартала, урочища
POI 0x2C0B  церковь
POI 0x2F08  остановка автобуса
POI 0x5905  ж/д станция
POI 0x6403  памятник
POI 0x6406  перевал
POI 0x6408  крестик на кладбище
POI 0x6411  башня
POI 0x6414  родник
POI 0x6415  дом
POI 0x6508  водопад
POI 0x650E  порог
POI 0x6603  яма
POI 0x660F  охотничья вышка, кормушка и т.п.
POI 0x6613  курган
POI 0x6616  скала-останец

POLYGON  0x04 закрытые территории
POLYGON  0x0E обычная населенка
POLYGON  0x15 остров леса 
POLYGON  0x16 лес
POLYGON  0x40 водоемы
POLYGON  0x4E дачи, сад.уч., д/о, п/л, кладбища
POLYGON  0x4F свежая вырубка
POLYGON  0x50 стар.вырубка
POLYGON  0x51 редколесье
POLYGON  0x52 поле 
POLYGON  0x53 остров

POLYLINE 0x00  кривая надпись							
POLYLINE 0x01  автомагистраль
POLYLINE 0x02  шоссе
POLYLINE 0x04  проезжий грейдер
POLYLINE 0x05  отдельные строения
POLYLINE 0x06  проезжая грунтовка
POLYLINE 0x07  непроезжий грейдер
POLYLINE 0x08  мост-1 (пешеходный)
POLYLINE 0x09  мост-3 (автомобильный)
POLYLINE 0x0A  непроезжая грунтовка
POLYLINE 0x0B  мост-7 (на автомагистралях)
POLYLINE 0x0C  ж/д станция
POLYLINE 0x0C  хребет
POLYLINE 0x15  ручей-1
POLYLINE 0x16  просека
POLYLINE 0x18  ручей-2
POLYLINE 0x19  карьер, выемка дороги
POLYLINE 0x1A  маленькая ЛЭП
POLYLINE 0x1B  пешеходный тоннель
POLYLINE 0x1C  просека широкая
POLYLINE 0x1D  граница областей
POLYLINE 0x1F  ручей-5
POLYLINE 0x20  пунктирная горизонталь
POLYLINE 0x21  горизонтали, бергштрихи и штрихи обрывов
POLYLINE 0x22  жирная горизонталь
POLYLINE 0x23  контур леса
POLYLINE 0x24  болото
POLYLINE 0x25  овраг
POLYLINE 0x26  пунктирный ручей
POLYLINE 0x27  железная дорога
POLYLINE 0x28  газопровод
POLYLINE 0x29  ЛЭП
POLYLINE 0x2A  тропа 
POLYLINE 0x2B  сухая канава
